section,category,description,date,metric,value
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-23,Percent Positivity,0.1852
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-23,Total Tests per 100K People,91.1
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-23,People Tested at CDPHE State Lab,847
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-23,People Tested at Non-CDPHE (Commerical) Labs,4402
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-23,Cumulative People Tested at CDPHE State Lab,16230
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-23,Cumulative People Tested at Non-CDPHE (Commerical) Labs,47471
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-23,7-Day Average Percent Positivity,0.1929
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-23,3-Day Average Percent Positivity,0.1792
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-24,Percent Positivity,0.2141
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-24,Total Tests per 100K People,51.1
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-24,People Tested at CDPHE State Lab,708
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-24,People Tested at Non-CDPHE (Commerical) Labs,2235
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-24,Cumulative People Tested at CDPHE State Lab,16938
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-24,Cumulative People Tested at Non-CDPHE (Commerical) Labs,49706
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-24,7-Day Average Percent Positivity,0.1914
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-24,3-Day Average Percent Positivity,0.1942
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-25,Percent Positivity,0.1486
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-25,Total Tests per 100K People,56.2
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-25,People Tested at CDPHE State Lab,778
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-25,People Tested at Non-CDPHE (Commerical) Labs,2459
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-25,Cumulative People Tested at CDPHE State Lab,17716
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-25,Cumulative People Tested at Non-CDPHE (Commerical) Labs,52165
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-25,7-Day Average Percent Positivity,0.1848
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-25,3-Day Average Percent Positivity,0.1823
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-26,Percent Positivity,0.1606
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-26,Total Tests per 100K People,46.1
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-26,People Tested at CDPHE State Lab,619
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-26,People Tested at Non-CDPHE (Commerical) Labs,2040
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-26,Cumulative People Tested at CDPHE State Lab,18335
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-26,Cumulative People Tested at Non-CDPHE (Commerical) Labs,54205
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-26,7-Day Average Percent Positivity,0.1796
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-26,3-Day Average Percent Positivity,0.174
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-27,Percent Positivity,0.1417
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-27,Total Tests per 100K People,46.9
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-27,People Tested at CDPHE State Lab,823
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-27,People Tested at Non-CDPHE (Commerical) Labs,1879
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-27,Cumulative People Tested at CDPHE State Lab,19158
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-27,Cumulative People Tested at Non-CDPHE (Commerical) Labs,56084
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-27,7-Day Average Percent Positivity,0.1721
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-27,3-Day Average Percent Positivity,0.1502
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-28,Percent Positivity,0.1445
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-28,Total Tests per 100K People,47.8
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-28,People Tested at CDPHE State Lab,504
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-28,People Tested at Non-CDPHE (Commerical) Labs,2250
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-28,Cumulative People Tested at CDPHE State Lab,19662
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-28,Cumulative People Tested at Non-CDPHE (Commerical) Labs,58334
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-28,7-Day Average Percent Positivity,0.1702
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-28,3-Day Average Percent Positivity,0.1489
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-29,Percent Positivity,0.1449
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-29,Total Tests per 100K People,57.5
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-29,People Tested at CDPHE State Lab,523
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-29,People Tested at Non-CDPHE (Commerical) Labs,2789
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-29,Cumulative People Tested at CDPHE State Lab,20185
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-29,Cumulative People Tested at Non-CDPHE (Commerical) Labs,61123
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-29,7-Day Average Percent Positivity,0.165
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-29,3-Day Average Percent Positivity,0.1438
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-30,Percent Positivity,0.1307
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-30,Total Tests per 100K People,57.9
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-30,People Tested at CDPHE State Lab,827
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-30,People Tested at Non-CDPHE (Commerical) Labs,2509
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-30,Cumulative People Tested at CDPHE State Lab,21012
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-30,Cumulative People Tested at Non-CDPHE (Commerical) Labs,63632
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-30,7-Day Average Percent Positivity,0.1545
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-04-30,3-Day Average Percent Positivity,0.1398
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-01,Percent Positivity,0.1469
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-01,Total Tests per 100K People,57.9
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-01,People Tested at CDPHE State Lab,522
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-01,People Tested at Non-CDPHE (Commerical) Labs,2813
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-01,Cumulative People Tested at CDPHE State Lab,21534
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-01,Cumulative People Tested at Non-CDPHE (Commerical) Labs,66445
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-01,7-Day Average Percent Positivity,0.1451
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-01,3-Day Average Percent Positivity,0.1408
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-02,Percent Positivity,0.1234
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-02,Total Tests per 100K People,62.1
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-02,People Tested at CDPHE State Lab,688
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-02,People Tested at Non-CDPHE (Commerical) Labs,2894
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-02,Cumulative People Tested at CDPHE State Lab,22222
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-02,Cumulative People Tested at Non-CDPHE (Commerical) Labs,69339
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-02,7-Day Average Percent Positivity,0.141
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-02,3-Day Average Percent Positivity,0.1334
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-03,Percent Positivity,0.1093
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-03,Total Tests per 100K People,38.7
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-03,People Tested at CDPHE State Lab,370
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-03,People Tested at Non-CDPHE (Commerical) Labs,1862
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-03,Cumulative People Tested at CDPHE State Lab,22592
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-03,Cumulative People Tested at Non-CDPHE (Commerical) Labs,71201
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-03,7-Day Average Percent Positivity,0.1352
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-03,3-Day Average Percent Positivity,0.1285
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-04,Percent Positivity,0.1246
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-04,Total Tests per 100K People,52.2
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-04,People Tested at CDPHE State Lab,291
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-04,People Tested at Non-CDPHE (Commerical) Labs,2719
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-04,Cumulative People Tested at CDPHE State Lab,22883
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-04,Cumulative People Tested at Non-CDPHE (Commerical) Labs,73920
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-04,7-Day Average Percent Positivity,0.1329
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-04,3-Day Average Percent Positivity,0.1202
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-05,Percent Positivity,0.106
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-05,Total Tests per 100K People,54.8
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-05,People Tested at CDPHE State Lab,404
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-05,People Tested at Non-CDPHE (Commerical) Labs,2757
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-05,Cumulative People Tested at CDPHE State Lab,23287
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-05,Cumulative People Tested at Non-CDPHE (Commerical) Labs,76677
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-05,7-Day Average Percent Positivity,0.1275
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-05,3-Day Average Percent Positivity,0.1135
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-06,Percent Positivity,0.1385
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-06,Total Tests per 100K People,57.4
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-06,People Tested at CDPHE State Lab,817
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-06,People Tested at Non-CDPHE (Commerical) Labs,2489
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-06,Cumulative People Tested at CDPHE State Lab,24104
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-06,Cumulative People Tested at Non-CDPHE (Commerical) Labs,79166
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-06,7-Day Average Percent Positivity,0.1266
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-06,3-Day Average Percent Positivity,0.1232
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-07,Percent Positivity,0.0813
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-07,Total Tests per 100K People,93.3
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-07,People Tested at CDPHE State Lab,858
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-07,People Tested at Non-CDPHE (Commerical) Labs,4518
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-07,Cumulative People Tested at CDPHE State Lab,24962
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-07,Cumulative People Tested at Non-CDPHE (Commerical) Labs,83684
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-07,7-Day Average Percent Positivity,0.1159
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-07,3-Day Average Percent Positivity,0.1039
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-08,Percent Positivity,0.1233
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-08,Total Tests per 100K People,81.2
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-08,People Tested at CDPHE State Lab,953
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-08,People Tested at Non-CDPHE (Commerical) Labs,3727
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-08,Cumulative People Tested at CDPHE State Lab,25915
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-08,Cumulative People Tested at Non-CDPHE (Commerical) Labs,87411
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-08,7-Day Average Percent Positivity,0.1131
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-08,3-Day Average Percent Positivity,0.1102
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-09,Percent Positivity,0.0977
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-09,Total Tests per 100K People,69.8
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-09,People Tested at CDPHE State Lab,980
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-09,People Tested at Non-CDPHE (Commerical) Labs,3044
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-09,Cumulative People Tested at CDPHE State Lab,26895
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-09,Cumulative People Tested at Non-CDPHE (Commerical) Labs,90455
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-09,7-Day Average Percent Positivity,0.1093
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-09,3-Day Average Percent Positivity,0.0999
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-10,Percent Positivity,0.0768
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-10,Total Tests per 100K People,53.3
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-10,People Tested at CDPHE State Lab,971
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-10,People Tested at Non-CDPHE (Commerical) Labs,2100
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-10,Cumulative People Tested at CDPHE State Lab,27866
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-10,Cumulative People Tested at Non-CDPHE (Commerical) Labs,92555
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-10,7-Day Average Percent Positivity,0.1056
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-10,3-Day Average Percent Positivity,0.1024
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-11,Percent Positivity,0.0864
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-11,Total Tests per 100K People,50.8
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-11,People Tested at CDPHE State Lab,731
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-11,People Tested at Non-CDPHE (Commerical) Labs,2198
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-11,Cumulative People Tested at CDPHE State Lab,28597
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-11,Cumulative People Tested at Non-CDPHE (Commerical) Labs,94753
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-11,7-Day Average Percent Positivity,0.1013
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-11,3-Day Average Percent Positivity,0.088
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-12,Percent Positivity,0.0835
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-12,Total Tests per 100K People,66.3
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-12,People Tested at CDPHE State Lab,541
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-12,People Tested at Non-CDPHE (Commerical) Labs,3280
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-12,Cumulative People Tested at CDPHE State Lab,29138
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-12,Cumulative People Tested at Non-CDPHE (Commerical) Labs,98033
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-12,7-Day Average Percent Positivity,0.0982
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-12,3-Day Average Percent Positivity,0.0823
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-13,Percent Positivity,0.1003
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-13,Total Tests per 100K People,69.7
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-13,People Tested at CDPHE State Lab,596
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-13,People Tested at Non-CDPHE (Commerical) Labs,3421
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-13,Cumulative People Tested at CDPHE State Lab,29734
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-13,Cumulative People Tested at Non-CDPHE (Commerical) Labs,101454
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-13,7-Day Average Percent Positivity,0.0938
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-13,3-Day Average Percent Positivity,0.0906
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-14,Percent Positivity,0.0922
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-14,Total Tests per 100K People,73.9
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-14,People Tested at CDPHE State Lab,774
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-14,People Tested at Non-CDPHE (Commerical) Labs,3488
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-14,Cumulative People Tested at CDPHE State Lab,30508
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-14,Cumulative People Tested at Non-CDPHE (Commerical) Labs,104942
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-14,7-Day Average Percent Positivity,0.096
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-14,3-Day Average Percent Positivity,0.0921
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-15,Percent Positivity,0.0981
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-15,Total Tests per 100K People,76.7
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-15,People Tested at CDPHE State Lab,751
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-15,People Tested at Non-CDPHE (Commerical) Labs,3671
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-15,Cumulative People Tested at CDPHE State Lab,31259
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-15,Cumulative People Tested at Non-CDPHE (Commerical) Labs,108613
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-15,7-Day Average Percent Positivity,0.0916
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-15,3-Day Average Percent Positivity,0.0968
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-16,Percent Positivity,0.1034
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-16,Total Tests per 100K People,59.2
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-16,People Tested at CDPHE State Lab,631
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-16,People Tested at Non-CDPHE (Commerical) Labs,2783
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-16,Cumulative People Tested at CDPHE State Lab,31890
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-16,Cumulative People Tested at Non-CDPHE (Commerical) Labs,111396
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-16,7-Day Average Percent Positivity,0.0922
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-16,3-Day Average Percent Positivity,0.0975
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-17,Percent Positivity,0.0805
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-17,Total Tests per 100K People,56.7
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-17,People Tested at CDPHE State Lab,498
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-17,People Tested at Non-CDPHE (Commerical) Labs,2771
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-17,Cumulative People Tested at CDPHE State Lab,32388
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-17,Cumulative People Tested at Non-CDPHE (Commerical) Labs,114167
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-17,7-Day Average Percent Positivity,0.0925
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-17,3-Day Average Percent Positivity,0.0946
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-18,Percent Positivity,0.0929
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-18,Total Tests per 100K People,52.3
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-18,People Tested at CDPHE State Lab,639
Tests,Daily PCR Tests,Daily COVID-19 PCR Test Data From Clinical Laboratories,2020-05-18,People Tested at Non-CDPHE (Commerical) Labs,2375
