description,attribute,metric,value
Number of Deaths by County,Logan County,Deaths,3
Number of Deaths by County,Montezuma County,Deaths,3
Number of Deaths by County,Alamosa County,Deaths,2
Number of Deaths by County,Elbert County,Deaths,2
Number of Deaths by County,Garfield County,Deaths,2
Number of Deaths by County,Pitkin County,Deaths,2
Number of Deaths by County,Summit County,Deaths,2
Number of Deaths by County,Teller County,Deaths,2
Number of Deaths by County,Clear Creek County,Deaths,1
Number of Deaths by County,Crowley County,Deaths,1
Number of Deaths by County,Delta County,Deaths,1
Number of Deaths by County,La Plata County,Deaths,1
Number of Deaths by County,Otero County,Deaths,1
Number of Deaths by County,Ouray County,Deaths,1
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-09,Deaths,1
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-10,Deaths,0
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-11,Deaths,0
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-12,Deaths,0
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-13,Deaths,2
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-14,Deaths,0
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-15,Deaths,1
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-16,Deaths,3
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-17,Deaths,3
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-18,Deaths,3
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-19,Deaths,5
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-20,Deaths,1
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-21,Deaths,6
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-22,Deaths,4
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-23,Deaths,6
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-24,Deaths,7
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-25,Deaths,15
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-26,Deaths,4
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-27,Deaths,10
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-28,Deaths,12
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-29,Deaths,10
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-30,Deaths,20
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-03-31,Deaths,15
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-01,Deaths,29
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-02,Deaths,22
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-03,Deaths,19
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-04,Deaths,29
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-05,Deaths,32
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-06,Deaths,28
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-07,Deaths,32
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-08,Deaths,34
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-09,Deaths,36
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-10,Deaths,34
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-11,Deaths,32
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-12,Deaths,34
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-13,Deaths,34
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-14,Deaths,34
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-15,Deaths,31
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-16,Deaths,35
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-17,Deaths,36
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-18,Deaths,25
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-19,Deaths,29
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-20,Deaths,32
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-21,Deaths,36
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-22,Deaths,35
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-23,Deaths,20
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-24,Deaths,33
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-25,Deaths,27
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-26,Deaths,27
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-27,Deaths,19
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-28,Deaths,25
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-29,Deaths,23
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-04-30,Deaths,25
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-01,Deaths,30
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-02,Deaths,20
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-03,Deaths,20
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-04,Deaths,22
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-05,Deaths,18
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-06,Deaths,18
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-07,Deaths,12
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-08,Deaths,14
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-09,Deaths,21
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-10,Deaths,9
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-11,Deaths,8
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-12,Deaths,12
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-13,Deaths,4
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-14,Deaths,9
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-15,Deaths,9
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-16,Deaths,7
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-17,Deaths,7
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-18,Deaths,5
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-19,Deaths,2
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-20,Deaths,2
Number of Deaths From COVID-19 in Colorado by Date of Death - By Day,2020-05-21,Deaths,2
Number of Deaths From COVID-19 in Colorado by Date of Death,Note,Date of death may not be available for all deaths,NA
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-09,Deaths,1
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-10,Deaths,1
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-11,Deaths,1
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-12,Deaths,1
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-13,Deaths,3
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-14,Deaths,3
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-15,Deaths,4
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-16,Deaths,7
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-17,Deaths,10
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-18,Deaths,13
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-19,Deaths,18
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-20,Deaths,19
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-21,Deaths,25
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-22,Deaths,29
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-23,Deaths,35
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-24,Deaths,42
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-25,Deaths,57
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-26,Deaths,61
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-27,Deaths,71
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-28,Deaths,83
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-29,Deaths,93
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-30,Deaths,113
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-03-31,Deaths,128
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-01,Deaths,157
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-02,Deaths,179
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-03,Deaths,198
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-04,Deaths,227
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-05,Deaths,259
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-06,Deaths,287
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-07,Deaths,319
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-08,Deaths,353
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-09,Deaths,389
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-10,Deaths,423
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-11,Deaths,455
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-12,Deaths,489
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-13,Deaths,523
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-14,Deaths,557
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-15,Deaths,588
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-16,Deaths,623
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-17,Deaths,659
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-18,Deaths,684
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-19,Deaths,713
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-20,Deaths,745
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-21,Deaths,781
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-22,Deaths,816
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-23,Deaths,836
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-24,Deaths,869
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-25,Deaths,896
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-26,Deaths,923
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-27,Deaths,942
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-28,Deaths,967
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-29,Deaths,990
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-04-30,Deaths,1015
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-01,Deaths,1045
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-02,Deaths,1065
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-03,Deaths,1085
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-04,Deaths,1107
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-05,Deaths,1125
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-06,Deaths,1143
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-07,Deaths,1155
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-08,Deaths,1169
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-09,Deaths,1190
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-10,Deaths,1199
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-11,Deaths,1207
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-12,Deaths,1219
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-13,Deaths,1223
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-14,Deaths,1232
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-15,Deaths,1241
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-16,Deaths,1248
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-17,Deaths,1255
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-18,Deaths,1260
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-19,Deaths,1262
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-20,Deaths,1264
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,2020-05-21,Deaths,1266
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Death,Note,Deaths,NA
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-02-26,Cases,3
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-02-27,Cases,4
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-02-28,Cases,4
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-02-29,Cases,4
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-01,Cases,9
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-02,Cases,10
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-03,Cases,13
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-04,Cases,16
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-05,Cases,18
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-06,Cases,19
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-07,Cases,22
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-08,Cases,33
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-09,Cases,40
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-10,Cases,43
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-11,Cases,51
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-12,Cases,53
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-13,Cases,62
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-14,Cases,72
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-15,Cases,87
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-16,Cases,113
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-17,Cases,123
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-18,Cases,133
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-19,Cases,151
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-20,Cases,178
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-21,Cases,197
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-22,Cases,216
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-23,Cases,250
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-24,Cases,275
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-25,Cases,309
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-26,Cases,334
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-27,Cases,363
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-28,Cases,375
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-29,Cases,396
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-30,Cases,427
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-03-31,Cases,448
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-01,Cases,496
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-02,Cases,526
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-03,Cases,556
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-04,Cases,589
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-05,Cases,628
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-06,Cases,662
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-07,Cases,698
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-08,Cases,738
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-09,Cases,772
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-10,Cases,797
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-11,Cases,823
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-12,Cases,852
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-13,Cases,881
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-14,Cases,909
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-15,Cases,940
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-16,Cases,964
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-17,Cases,995
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-18,Cases,1013
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-19,Cases,1027
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-20,Cases,1055
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-21,Cases,1074
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-22,Cases,1095
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-23,Cases,1105
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-24,Cases,1118
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-25,Cases,1131
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-26,Cases,1142
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-27,Cases,1151
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-28,Cases,1160
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-29,Cases,1172
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-04-30,Cases,1185
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-01,Cases,1200
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-02,Cases,1207
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-03,Cases,1213
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-04,Cases,1220
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-05,Cases,1228
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-06,Cases,1243
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-07,Cases,1255
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-08,Cases,1269
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-09,Cases,1277
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-10,Cases,1287
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-11,Cases,1296
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-12,Cases,1306
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-13,Cases,1313
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-14,Cases,1319
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-15,Cases,1323
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-16,Cases,1325
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-17,Cases,1326
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,2020-05-18,Cases,1327
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,Note,Data is reported daily around 4pm; subsequent days' data may show differences as cases are reported after this time.,NA
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,Note,Onset date may be unavailable for some cases and inferred.,NA
Cumulative Number of Deaths From COVID-19 in Colorado by Date of Illness,Note,Illnesses might not yet be reported due to the time it takes between when a person becomes ill and when the illness is reported.,NA
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-13,Cases,2
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-14,Cases,3
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-15,Cases,4
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-16,Cases,4
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-17,Cases,4
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-18,Cases,8
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-19,Cases,10
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-20,Cases,12
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-21,Cases,24
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-22,Cases,30
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-23,Cases,41
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-24,Cases,51
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-25,Cases,69
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-26,Cases,92
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-27,Cases,120
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-28,Cases,142
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-29,Cases,160
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-30,Cases,187
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-03-31,Cases,215
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-01,Cases,247
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-02,Cases,284
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-03,Cases,314
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-04,Cases,343
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-05,Cases,368
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-06,Cases,383
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-07,Cases,406
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-08,Cases,457
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-09,Cases,483
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-10,Cases,516
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-11,Cases,555
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-12,Cases,583
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-13,Cases,608
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-14,Cases,635
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-15,Cases,675
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-16,Cases,701
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-17,Cases,728
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-18,Cases,739
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-19,Cases,762
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-20,Cases,780
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-21,Cases,810
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-22,Cases,838
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-23,Cases,954
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-24,Cases,976
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-25,Cases,993
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-26,Cases,1008
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-27,Cases,1023
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-28,Cases,1041
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-29,Cases,1060
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-04-30,Cases,1074
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-05-01,Cases,1094
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-05-02,Cases,1107
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-05-03,Cases,1112
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-05-04,Cases,1130
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-05-05,Cases,1140
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-05-06,Cases,1147
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-05-07,Cases,1165
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-05-08,Cases,1173
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-05-09,Cases,1176
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-05-10,Cases,1183
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-05-11,Cases,1190
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-05-12,Cases,1221
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-05-13,Cases,1228
Cumulative Number of Deaths From COVID-19 in Colorado by Date Reported to the State,2020-05-14,Cases,1250
